"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","PAD District"
"Time:","01/1981 - 08/2022"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | PAD District 1 - East Coast, PAD District 2 - Midwest, PAD District 3 - Gulf Coast, PAD District 4 - Rocky Mountains, PAD District 5 - West Coast, 01/1981 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466CF9BE085"
"ColumnCount:",6
"RowCount:",500

"Time","PAD District 1 - East Coast (Barrels)","PAD District 2 - Midwest (Barrels)","PAD District 3 - Gulf Coast (Barrels)","PAD District 4 - Rocky Mountains (Barrels)","PAD District 5 - West Coast (Barrels)"
"03/2002",700000,13815000,101435000,9009000,4631000
"04/2002",600000,13734000,98010000,8785000,4566000
"05/2002",636000,14136000,103506000,9029000,4693000
"06/2002",623000,13490000,99446000,8633000,4495000
"07/2002",650000,14054000,101350000,8826000,4597000
"08/2002",632000,13947000,101500000,8934000,4624000
"09/2002",616000,13244000,89318000,8696000,4497000
"10/2002",654000,13604000,87704000,9012000,4636000
"11/2002",578000,13697000,94715000,8733000,4481000
"12/2002",611000,13605000,98674000,9042000,4620000
"01/2003",621000,14063000,99796000,9115000,4660000
"02/2003",528000,12123000,90762000,8257000,4179000
"03/2003",603000,13970000,100894000,8975000,4524000
"04/2003",669000,13696000,96480000,8775000,4396000
"05/2003",601000,13685000,97840000,9054000,4551000
"06/2003",625000,13202000,94538000,8712000,4312000
"07/2003",636000,13674000,94896000,8973000,4454000
"08/2003",583000,13358000,97071000,8975000,4421000
"09/2003",616000,13089000,94003000,8870000,4355000
"10/2003",640000,13562000,97366000,9194000,4464000
"11/2003",607000,12740000,92734000,8849000,4247000
"12/2003",642000,13752000,96360000,9246000,4407000
"01/2004",628000,13301000,96897000,9117000,4353000
"02/2004",603000,12310000,91467000,8617000,4073000
"03/2004",628000,13776000,97050000,9412000,4384000
"04/2004",608000,13209000,93097000,9177000,4205000
"05/2004",636000,13673000,96197000,9526000,4338000
"06/2004",587000,12925000,89653000,9392000,4259000
"07/2004",601000,13439000,98653000,9612000,4376000
"08/2004",595000,13682000,96826000,9774000,4449000
"09/2004",485000,13326000,81119000,9599000,4313000
"10/2004",605000,13606000,84798000,9966000,4468000
"11/2004",624000,12848000,89260000,9730000,4316000
"12/2004",623000,14243000,94272000,10013000,4407000
"01/2005",631000,12786000,95074000,9925000,4345000
"02/2005",543000,12304000,86388000,9301000,3979000
"03/2005",720000,14047000,97809000,10271000,4332000
"04/2005",571000,13407000,94851000,9953000,4159000
"05/2005",607000,13503000,99175000,10469000,4308000
"06/2005",574000,12620000,93773000,10188000,4241000
"07/2005",508000,13746000,92283000,10555000,4445000
"08/2005",556000,12954000,89284000,10814000,4443000
"09/2005",557000,13686000,56062000,10556000,4337000
"10/2005",580000,13922000,67304000,10949000,4447000
"11/2005",546000,13634000,73652000,10693000,4367000
"12/2005",578000,14021000,81765000,10783000,4365000
"01/2006",572000,14039000,84564000,10900000,4452000
"02/2006",529000,12548000,75603000,9831000,3966000
"03/2006",643000,14421000,84996000,11167000,4493000
"04/2006",569000,13683000,82781000,10786000,4359000
"05/2006",607000,14494000,87093000,11185000,4473000
"06/2006",575000,14135000,85334000,10754000,4292000
"07/2006",598000,14438000,89455000,11235000,4485000
"08/2006",616000,14462000,89551000,11282000,4487000
"09/2006",591000,14090000,85179000,11001000,4362000
"10/2006",579000,14341000,88679000,11397000,4560000
"11/2006",571000,13987000,86233000,11001000,4436000
"12/2006",553000,14566000,89006000,11156000,4609000
"01/2007",615000,13511000,88402000,10939000,4522000
"02/2007",549000,12761000,80427000,10100000,4122000
"03/2007",657000,14737000,87839000,11465000,4602000
"04/2007",595000,14189000,86654000,11274000,4523000
"05/2007",608000,15083000,89591000,11708000,4638000
"06/2007",589000,14215000,84806000,11188000,4482000
"07/2007",576000,14917000,86372000,11400000,4527000
"08/2007",602000,15115000,86311000,11554000,4617000
"09/2007",601000,14859000,81479000,11057000,4469000
"10/2007",619000,14291000,86968000,11571000,4599000
"11/2007",606000,14875000,82168000,11193000,4491000
"12/2007",640000,14972000,88246000,11290000,4524000
"01/2008",659000,15830000,88720000,11136000,4443000
"02/2008",605000,14182000,84477000,10545000,4164000
"03/2008",698000,16035000,89918000,11488000,4516000
"04/2008",648000,15886000,86850000,11339000,4460000
"05/2008",578000,16541000,89231000,11575000,4509000
"06/2008",615000,16083000,87042000,11195000,4329000
"07/2008",629000,16772000,91664000,11492000,4482000
"08/2008",621000,17389000,88182000,11557000,4494000
"09/2008",606000,17123000,49933000,11446000,4334000
"10/2008",634000,18065000,73917000,11804000,4482000
"11/2008",608000,17728000,80991000,11571000,4413000
"12/2008",581000,17572000,86696000,11480000,4419000
"01/2009",419000,17232000,89100000,11599000,4457000
"02/2009",399000,16215000,81726000,10593000,4002000
"03/2009",508000,17543000,91042000,11536000,4349000
"04/2009",435000,17031000,91123000,11039000,4278000
"05/2009",446000,18060000,96078000,11404000,4393000
"06/2009",499000,17830000,92483000,10998000,4264000
"07/2009",451000,18698000,100467000,11059000,4291000
"08/2009",463000,18471000,100770000,10990000,4249000
"09/2009",500000,18502000,98641000,10740000,4220000
"10/2009",449000,18812000,101173000,11061000,4391000
"11/2009",429000,18449000,93579000,10859000,4348000
"12/2009",511000,18525000,99871000,10825000,4289000
"01/2010",542000,18165000,99080000,10956000,4345000
"02/2010",509000,17778000,92180000,10158000,4001000
"03/2010",579000,20488000,99258000,11435000,4524000
"04/2010",585000,20165000,92252000,11083000,4389000
"05/2010",625000,20917000,97511000,11539000,4547000
"06/2010",627000,20933000,94326000,11067000,4394000
"07/2010",645000,21785000,94633000,11377000,4516000
"08/2010",635000,21998000,98917000,11746000,4523000
"09/2010",619000,22024000,97440000,11588000,4439000
"10/2010",633000,22627000,100966000,12619000,5269000
"11/2010",620000,22607000,96165000,11555000,4435000
"12/2010",632000,23250000,100694000,11828000,4509000
"01/2011",661000,22724000,102954000,11420000,4400000
"02/2011",593000,19928000,86572000,10525000,3994000
"03/2011",681000,24313000,99747000,12041000,4548000
"04/2011",657000,22912000,95388000,11775000,4469000
"05/2011",679000,24166000,100795000,12097000,4600000
"06/2011",649000,24279000,96274000,11905000,4557000
"07/2011",665000,26094000,97223000,12229000,4693000
"08/2011",701000,26938000,100974000,12406000,4681000
"09/2011",667000,26810000,93612000,12098000,4502000
"10/2011",686000,28574000,105155000,12716000,4719000
"11/2011",666000,28752000,103744000,12524000,4643000
"12/2011",679000,30226000,109216000,12726000,4710000
"01/2012",732000,31185000,110036000,12837000,4714000
"02/2012",706000,29986000,104799000,12281000,4524000
"03/2012",769000,32413000,114632000,13352000,4915000
"04/2012",727000,32062000,109954000,12860000,4665000
"05/2012",738000,34950000,112897000,13613000,4854000
"06/2012",735000,34084000,107893000,12938000,4663000
"07/2012",804000,35894000,117594000,13735000,4882000
"08/2012",821000,37098000,113998000,14040000,4956000
"09/2012",779000,36508000,113945000,13902000,4812000
"10/2012",843000,39191000,125643000,14950000,4948000
"11/2012",861000,37487000,124981000,14682000,4853000
"12/2012",883000,39425000,129666000,15083000,5022000
"01/2013",972000,39333000,129396000,14753000,4945000
"02/2013",924000,35634000,118351000,13831000,4652000
"03/2013",1099000,41203000,130671000,15704000,5384000
"04/2013",1003000,40620000,130531000,15380000,5145000
"05/2013",1191000,42399000,133066000,16000000,5402000
"06/2013",1264000,41515000,127595000,15535000,5243000
"07/2013",1479000,44379000,137049000,16391000,5247000
"08/2013",1507000,46551000,136615000,17098000,5541000
